
97,750000
60,000000
90,000000
32,162162
49,027778
50,285714
90,000000
90,000000
74,400000
49,938095
68,979592
53,750000
82,204082
93,272727
67,291667
96,000000
79,393939
90,000000
45,000000
75,508475
92,307692
90,000000
85,416667
26,633663
56,969697
60,000000
90,000000
88,851852
78,297872
97,058824
90,000000
64,000000
90,000000
88,772152
45,182482
87,083333
61,578947
90,000000
92,500000
58,888889
44,349593
90,000000
68,750000
64,067278
86,666667
40,538462
46,595745
90,000000
57,435897
78,387097
8,569948
24,521739
87,000000
97,827586
77,962963
66,136364
42,926829
63,666667
90,000000
90,000000
80,000000
71,555556
26,928105
84,000000
93,333333
56,031579
95,579268
90,000000
90,000000
83,333333
88,947368
85,306122
90,000000
90,000000
47,086957
13,718797
69,895089
90,869565
59,090909
73,640449
50,000000
57,721311
26,705069
48,463918
92,307692
29,855072
70,940000
90,000000
70,000000
90,000000
34,883721
90,000000
84,705882
90,000000
90,000000
89,000000
81,276596
90,000000
50,434783
67,368421
90,000000
41,115942
42,646552
90,000000
94,000000
76,039164
83,750000
79,218750
32,444444
88,095238
80,759740
0,000000
90,000000
80,324675
65,833333
90,000000
90,000000
90,000000
96,842105
76,000000
88,611111
62,826087
70,000000
96,250000
90,000000
82,500000
19,285714
2,785235
98,000000
91,430233
40,416667
58,378378
90,000000
69,276316
48,245902
67,500000
90,000000
88,235294
91,292683
19,153748
90,000000
25,394737
0,628749
70,000000
90,000000
90,000000
74,516129
92,887640
48,571429
54,193548
25,000000
90,000000
55,666667
44,500000
89,500000
56,666667
30,359712
87,500000
76,500000
65,882353
66,530612
36,884615
51,153846
90,000000
90,000000
45,000000
90,000000
85,256637
60,689655
60,798701
90,000000
67,652174
40,967742
69,310345
90,000000
77,307292
74,090909
90,000000
99,260870
85,968750
52,607143
79,090909
92,000000
87,894737
90,000000
86,666667
77,894737
90,000000
68,066667
90,000000
60,000000
51,428571
20,769231
70,000000
36,419753
100,000000
90,000000
90,000000
84,936709
90,000000
90,000000
80,000000
91,052632
23,494898
63,836066
85,000000
30,000000
90,000000
41,871795
90,000000
70,000000
54,000000
90,000000
18,251748
85,714286
86,818182
90,000000
90,000000
60,000000
88,695652
91,000000
90,000000
73,875000
75,000000
10,769231
59,045643
90,000000
85,454545
78,333333
39,201220
90,000000
27,959075
90,000000
45,000000
79,733333
29,342466
85,303030
46,119403
90,000000
53,030303
68,000000
55,789474
65,423077
80,000000
90,945946
90,000000
65,000000
90,000000
73,400000
95,458333
58,048780
57,063492
74,875000
62,903226
88,559322
90,000000
34,181818
84,275862
70,909091
94,822430
90,000000
90,000000
95,000000
78,500000
52,500000
57,272727
68,977444
92,625000
24,886364
91,562500
97,142857
31,482490
79,105263
92,685185
48,461538
81,483871
50,000000
77,142857
91,111111
39,850746
63,738318
90,000000
90,000000
85,849057
59,142857
66,073276
88,461538
90,000000
94,446809
86,000000
76,666667
95,814815
85,666667
90,000000
40,000000
95,000000
10,416667
90,000000
85,706422
12,346939
90,000000
72,950820
43,116883
92,500000
86,428571
90,000000
64,065934
98,103448
90,000000
50,476190
99,642857
71,243902
43,987342
90,000000
62,837209
90,000000
30,072993
76,082803
36,363636
90,000000
60,000000
90,000000
45,130081
79,166667
49,600000
89,056180
35,041237
90,000000
76,666667
64,230769
80,333333
59,090909
45,000000
90,000000
71,428571
90,000000
90,000000
